Comp_Num,Comp_FR_Date,Comp_FR_Time,KY_DC,OFNS_DESC,PD_CD,PD_DESC,Crime_Completed,LAW_CAT_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,Date
126987392,01/01/2016,17:04:00,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,45-64,BLACK,F,40.651700904,-73.868446751,UNKNOWN,UNKNOWN,D,2016-01-01 17:04:00
168057045,01/01/2016,09:00:00,341,PETIT LARCENY,305,"LARCENY,PETIT BY CREDIT CARD U",COMPLETED,MISDEMEANOR,UNKNOWN,UNKNOWN,U,40.819214568,-73.847167915,25-44,BLACK,F,2016-01-01 09:00:00
226735435,01/01/2016,08:00:00,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,18-24,UNKNOWN,M,40.723680732,-73.879264976,18-24,WHITE,F,2016-01-01 08:00:00
265084680,01/01/2016,01:50:00,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,,,,40.766669017,-73.833068432,25-44,ASIAN / PACIFIC ISLANDER,M,2016-01-01 01:50:00
311211202,01/01/2016,08:00:00,109,GRAND LARCENY,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,25-44,BLACK HISPANIC,M,40.636300164,-73.892465975,25-44,BLACK,F,2016-01-01 08:00:00
386686019,01/01/2016,01:00:00,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,,,,40.651064701,-74.011115585,45-64,WHITE,M,2016-01-01 01:00:00
390961029,01/01/2016,08:00:00,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,UNKNOWN,UNKNOWN,U,40.585631491,-73.95485397,UNKNOWN,UNKNOWN,E,2016-01-01 08:00:00
393313542,01/01/2016,09:00:00,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,25-44,WHITE HISPANIC,M,40.811588415,-73.918940567,25-44,WHITE HISPANIC,F,2016-01-01 09:00:00
415908438,01/01/2016,02:15:00,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,18-24,WHITE HISPANIC,M,40.768102996,-73.763258971,UNKNOWN,UNKNOWN,E,2016-01-01 02:15:00
545278161,01/01/2016,17:00:00,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,UNKNOWN,UNKNOWN,U,40.694457825,-73.950701727,25-44,WHITE,M,2016-01-01 17:00:00
578024204,01/01/2016,00:05:00,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,UNKNOWN,UNKNOWN,U,40.67169072,-73.918328321,UNKNOWN,UNKNOWN,D,2016-01-01 00:05:00
595491404,01/01/2016,07:00:00,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,UNKNOWN,UNKNOWN,U,40.821470874,-73.944606383,45-64,WHITE HISPANIC,F,2016-01-01 07:00:00
720353760,01/01/2016,23:00:00,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,25-44,BLACK,M,40.814631743,-73.946107719,25-44,BLACK,F,2016-01-01 23:00:00
791960830,01/01/2016,04:05:00,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,25-44,WHITE HISPANIC,M,40.806924639,-73.935562585,UNKNOWN,UNKNOWN,E,2016-01-01 04:05:00
814405979,01/01/2016,01:00:00,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,25-44,BLACK,M,40.6497302,-73.93647479,25-44,BLACK,F,2016-01-01 01:00:00
104607409,01/01/2016,17:14:00,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,45-64,BLACK,M,40.852932365,-73.915561003,45-64,BLACK,F,2016-01-01 17:14:00
333784420,01/01/2016,22:39:00,107,BURGLARY,214,"BURGLARY,COMMERCIAL,UNKNOWN TI",COMPLETED,FELONY,UNKNOWN,BLACK,M,40.656296535,-74.007692571,UNKNOWN,UNKNOWN,D,2016-01-01 22:39:00
391423125,01/01/2016,05:00:00,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,UNKNOWN,UNKNOWN,M,40.636899989,-74.086251088,25-44,BLACK,F,2016-01-01 05:00:00
